,text,date,channel_FedRussianInsiders,channel_TechCryptoAnalyst,channel_Whalesguide,channel_binancekillers,channel_cryptoclubpump,channel_wallstreetqueenofficial,sentiment,sentiment_score,year,week,day
22,"**January 6, 2024  MARKET ANALYSIS:** Market Cap: $1.66 Trillion 24h Volume: $64.6 Billion BTC Dominance: 51.9% ETH Dominance: 16.3% BK Health Standard: 2.7 (1 to 10) BK Sentiment: 21% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. PEOPLE: +47% 2. POWR: +35% 3. POLYX: +26% **Top Losers** 1. FIRO: -19% 2. OGN: -18% 3. CTSI: -17% **BINANCE FUTURES: Top Gainers** 1. PEOPLEUSDT: +44% 2. POWRUSDT: +35% **Top Losers** 1. OGNUSDT: -19% 2. CTSIUSDT: -18% **LARGEST VOLUME (24h)** 1. BTC/USDT ($26.94B) 2. ETH/USDT ($9.62B) **DAILY OUTLOOK** PEOPLE, POWR, and POLYX have emerged as the market's top gainers, exhibiting notable upward momentum. Meanwhile, Bitcoin (BTC) appears to be experiencing a period of uncertainty in the short term, undergoing a cooling phase before potentially reaching its next higher high.  - Binance Killers",2024-01-06,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,1,5
23,"**January 7, 2024  MARKET ANALYSIS:** Market Cap: $1.66 Trillion 24h Volume: $42.85 Billion BTC Dominance: 52.1% ETH Dominance: 16.3% BK Health Standard: 5.1 (1 to 10) BK Sentiment: 37% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. MASK: +52% 2. DATA: +49% 3. GMT: +47% **Top Losers** 1. T: -12% 2. SANTOS: -5% 3. STRAX: -4% **BINANCE FUTURES: Top Gainers** 1. MASKUSDT: +52% 2. GMTUSDT: +48% **Top Losers** 1. TUSDT: -12% 2. STRAXUSDT: -3% **LARGEST VOLUME (24h)** 1. BTC/USDT ($15694m) 2. ETH/USDT ($5400m) **DAILY OUTLOOK** MASK, DATA, and GMT have emerged as the top gainers in the current market scenario. BTC is currently undergoing a consolidation phase and shows promising signs of a significant breakout beyond the $45,000 resistance level. This potential surge in BTC value is anticipated to serve as a robust indicator for the performance of Alts.  - Binance Killers",2024-01-07,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,6
24,"VIP MARKET UPDATE: $BTC DOMINANCE  Bitcoin dominance is on the rise, coinciding with gradual bullish signals from BTC. This phenomenon is contributing to subdued momentum in Alts. The upcoming weekly candle close holds significant importance, as it may usher in increased market volatility. It is crucial to exercise prudent risk management strategies in light of these developments.  - Binance Killers",2024-01-07,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,6
25,"**January 8, 2024  MARKET ANALYSIS:** Market Cap.: $1.64 Trillion 24h Volume: $58.77 Billion BTC Dominance: 52.7% ETH Dominance: 16.4% BK Health Standard: 4.2 (1 to 10) BK Sentiment: 19% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. DEGO: +16% 2. T: +12% 3. STX: +11% **Top Losers** 1. POWR: -62% 2. MASK: -27% 3. DATA: -24% **BINANCE FUTURES: Top Gainers** 1. STXUSDT: +12% 2. TUSDT: +10% **Top Losers** 1. POWRUSDT: -62% 2. MASKUSDT: -28% **LARGEST VOLUME (24h)** 1. BTC/USDT ($23.56B) 2. ETH/USDT ($8.5B) **DAILY OUTLOOK** DEGO, T, and STX have emerged as the leading gainers in the current market scenario. Despite BTC moving sideways, BTC.D is on the rise, causing a downturn in the altcoins as they experience a bleed and hunt for downside liquidity. To gain a clearer perspective on the market, we must await the opening of financial markets for more insights.  - Binance Killers",2024-01-08,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,2,0
26,"VIP MARKET UPDATE: $BTC  It is currently encountering the order block resistance subsequent to surpassing the lower marked horizontal resistance. A positive sign for a bullish trend would be a breakout retest of the prevailing horizontal resistance. Additionally, there exists a potential scenario for a retest of the horizontal support. The market cap of Alts is exhibiting significant volatility, and a clearer direction is anticipated following the closure of several candles. Monitoring subsequent candle closes will provide better insight into the market's trajectory.  - Binance Killers",2024-01-08,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,2,0
27,VIP MARKET UPDATE: $BTC   Perfectly going as predicted after the breakout of the horizontal resistance and crossed $47K   - Binance Killers,2024-01-08,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,0
28,"**January 9, 2024  MARKET ANALYSIS:** Market Cap.: $1.72 Trillion 24h Volume: $83.93 Billion BTC Dominance: 53.1% ETH Dominance: 16.1% BK Health Standard: 6 (1 to 10) BK Sentiment: 53% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. RIF: +36% 2. BONK: +26% 3. ASTR: +23% **Top Losers** 1. PEOPLE: -20% 2. DEGO: -16% 3. GMT: -13% **BINANCE FUTURES: Top Gainers** 1. RIFUSDT: +37% 2. BIGTIMEUSDT: +34% **Top Losers** 1. PEOPLEUSDT: -19% 2. GMTUSDT: -13% **LARGEST VOLUME (24h)** 1. BTC/USDT ($42.96B) 2. ETH/USDT ($13.27B) **DAILY OUTLOOK** RIF, BONK, and ASTR have emerged as the leading gainers in the market, showcasing impressive performance. BTC has demonstrated notable strength, initiating the week on a positive note and signaling the potential for a sustained bull run. The broader market sentiment indicates a positive trend, with altcoins gaining momentum, hinting at a potential significant upward surge in the near future. Investors are optimistic about the continued positive trajectory, as both major cryptocurrencies and alternative coins contribute to the overall bullish market sentiment.  - Binance Killers",2024-01-09,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,1
29,"VIP MARKET UPDATE: $BTC  It has recently experienced a significant breakout from an ascending triangle pattern, accompanied by notable trading volume. Following this breakout, the market is currently exhibiting a short-term retracement, tapping into downward liquidity. The key to anticipating a bullish continuation lies in the coin's ability to sustain its trading levels or consolidate above the established triangle. If BTC manages to maintain this position, it is likely to signal a bullish sentiment, with the potential for further upward movement in the market. Traders and investors should closely monitor the ongoing price action and consolidation phase for confirmation of the anticipated bullish trend.  - Binance Killers",2024-01-09,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,1
30,"VIP NEWS  BREAKING: Gary Gensler Says SECs X Account Hacked, Bitcoin Spot ETFs Not Yet Approved.  - Binance Killers",2024-01-10,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,2,2
31,"**January 10, 2024  MARKET ANALYSIS:** Market Cap: $1.71 Trillion 24h Volume: $84.15 Billion BTC Dominance: 52.7% ETH Dominance: 16.8% BK Health Standard: 3.7 (1 to 10) BK Sentiment: 14% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. XAI: +2733% 2. BONK: +22% 3. LDO: +19% **Top Losers** 1. AI: -18% 2. SC: -14% 3. JOE: -13% **BINANCE FUTURES: Top Gainers** 1. 1000BONKUSDT: +22% 2. LDOUSDT: +19%** Top Losers** 1. AIUSDT: -18% 2. SCUSDT: -14% **LARGEST VOLUME (24h)** 1. BTC/USDT ($38236m) 2. ETH/USDT ($16961m) **DAILY OUTLOOK** XAI, BONK, and LDO have emerged as the top performers in the current market scenario. BTC is steadily climbing on an upward trajectory while strategically targeting downside liquidity. The Alts are exhibiting notable volatility, closely correlated with the rising BTC Dominance. Currently, Alts are undergoing a cooling phase, awaiting a potential surge. The anticipation is centered around the eventual rejection of BTC.D, which is expected to pave the way for a substantial increase in Altcoin value. As the market dynamics continue to evolve, investors are closely monitoring these trends for strategic decision-making.  - Binance Killers",2024-01-10,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,2
32,"VIP MARKET UPDATE: $BTC  The price recently surged above $48,000 but faced resistance, resulting in a rejection. Presently, it is undergoing a retest above the ascending triangle. A successful retest serves as a bullish signal, suggesting potential upward momentum. Conversely, a failed retest could indicate a correction in the market. Monitoring this critical level will provide insights into the ongoing market dynamics and potential future trends.  - Binance Killers",2024-01-10,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,2
33,"VIP NEWS  BREAKING: Gary Gensler has just made a formal statement about thr Bitcoin SPOT ETF, and confirms it has been approved by the US government. Proof is the document below, which weve been able to access. This is the reason why $ETH has just exploded 7% above $2,500 [LINK](https://www.sec.gov/news/statement/gensler-statement-spot-bitcoin-011023)  - Binance Killers",2024-01-10,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,2
34,"**January 11, 2024  MARKET ANALYSIS:** Market Cap: $1.76 Trillion 24h Volume: $120 Billion BTC Dominance: 51.3% ETH Dominance: 17.7% BK Health Standard: 6 (1 to 10) BK Sentiment: 53% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. ENS: +40% 2. ETC: +32% 3. SYN: +27% **Top Losers** 1. RIF: -13% 2. PERP: -5% 3. PEOPLE: -5% **BINANCE FUTURES: Top Gainers** 1. ENSUSDT: +40% 2. ETCUSDT: +32% **Top Losers** 1. RIFUSDT: -13.5% 2. BTCDOMUSDT: -6% **LARGEST VOLUME (24h)** 1. BTC/USDT ($52248m) 2. ETH/USDT ($30865m) **DAILY OUTLOOK** ENS, ETC, and SYN have emerged as the market's top gainers, showcasing robust performance. Notably, Bitcoin's dominance is on a downward trend, while BTC consolidates above the triangle pattern. This consolidation above the triangle is a positive indicator, suggesting bullish sentiment for Alts. As BTC dominance continues to decline, there is a strong likelihood of the bullish momentum in Alts persisting.  - Binance Killers",2024-01-11,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,3
35,VIP NEWS  BREAKING: BTC ETF  - Binance Killers,2024-01-11,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,2,3
36,VIP MARKET UPDATE: $BTC   Retested perfectly above the triangle and again breaking $47000   - Binance Killers,2024-01-11,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,3
37,VIP MARKET UPDATE: $BTC   Touched $49000   - Binance Killers,2024-01-11,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,3
38,"**January 12, 2024  MARKET ANALYSIS:** Market Cap: $1.77 Trillion 24h Volume: $98.5 Billion BTC Dominance: 51% ETH Dominance: 17.8% BK Health Standard: 4.7 (1 to 10) BK Sentiment: 39% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. PEOPLE: +40% 2. LPT: +22% 3. FTT: +20% **Top Losers** 1. XAI: -13% 2. SKL: -9% 3. CHR: -8% ** BINANCE FUTURES: Top Gainers** 1. PEOPLEUSDT: +40% 2. LPTUSDT: +22% **Top Losers** 1. XAIUSDT: -13% 2. SKLUSDT: -9% **LARGEST VOLUME (24h)** 1. BTC/USDT ($43B) 2. ETH/USDT ($19B) **DAILY OUTLOOK** PEOPLE, LPT, and FTT have emerged as the top gainers in the current market scenario. Notably BTC has exhibited remarkable strength by reaching a significant milestone of $49,000. This achievement is regarded as a highly positive signal for the overall market, confirming the presence of a robust bull run. The impressive performance of these key players, coupled with the strong showing of BTC, instills confidence and optimism among investors and market participants.  - Binance Killers",2024-01-12,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,4
39,"VIP MARKET UPDATE: $BTC  It faced rejection at the critical $49,000 resistance level, emphasizing the significance of maintaining support above this threshold. A potential bearish signal could emerge if there is a breakdown and subsequent retest of the trendline. It is crucial to monitor the price action carefully for any further developments.  - Binance Killers",2024-01-12,0.0,0.0,0.0,1.0,0.0,0.0,negative,-1,2024,2,4
40,"**January 13, 2024  MARKET ANALYSIS:** Market Cap: $1.68 Trillion 24h Volume: $101 Billion BTC Dominance: 50.1% ETH Dominance: 18.1% BK Health Standard: 3.7 (1 to 10) BK Sentiment: 23% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. PROS: +26% 2. SYS: +25% 3. WIN: +16% **Top Losers** 1. BONK: -13% 2. PEOPLE: -12% 3. LQTY: -11% **BINANCE FUTURES: Top Gainers** 1. SUIUSDT: +15% 2. BLURUSDT: +10% **Top Losers** 1. 1000BONKUSDT: -14% 2. PEOPLEUSDT: -12% **LARGEST VOLUME (24h)** 1. BTC/USDT ($45B) 2. ETH/USDT ($25B) **DAILY OUTLOOK** PROS, SYN, and WIN have emerged as the leading gainers in the current market landscape. BTC experienced a decline subsequent to surpassing the liquidity threshold at $48,000, with its current trading level hovering around $43,000. Notably, BTC is exhibiting the formation of a higher low, signaling a potential bullish trajectory in the near future. Observing the closing of this week's candle is crucial, as it will provide valuable insights into the definitive direction that the market is poised to take.  - Binance Killers",2024-01-13,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,2,5
41,"**January 14, 2024  MARKET ANALYSIS:** Market Cap.: $1.69 Trillion 24h Volume: $48.61 Billion BTC Dominance: 49.7% ETH Dominance: 18.2% BK Health Standard: 4.1 (1 to 10) BK Sentiment: 31% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. JTO: +24% 2. TIA: +16% 3. SUN: +14% **Top Losers** 1. MOVR: -11% 2. UFT: -8% 3. PEOPLE: -7% ** BINANCE FUTURES: Top Gainers** 1. 1000RATSUSDT: +40% 2. JTOUSDT: +24% **Top Losers** 1. MOVRUSDT: -11% 2. ETHWUSDT: -8.5% **LARGEST VOLUME (24h)** 1. BTC/USDT ($17B) 2. ETH/USDT ($10.85B) **DAILY OUTLOOK** JTO, TIA, and SUN have emerged as the leading gainers in the market. Meanwhile, BTC, following a robust downward movement, is presently in a phase of consolidation within a narrow range. The upcoming weekly candle close holds significant importance, as it could potentially influence market dynamics. Additionally, there is anticipation of potential gains in some Alts. Observing the developments in these key indicators will provide valuable insights into the current market trends.  - Binance Killers",2024-01-14,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,2,6
42,"VIP MARKET UPDATE: $BTC  The current market dynamics indicate a persistent testing of levels below the established trendline. The upcoming weekly candle close holds significant importance as it will determine whether the asset manages to reclaim crucial support or successfully undergoes a retest, potentially signaling a continuation of the downward trend. Observing this key price action can provide valuable insights into the overall market sentiment and potential future movements.  - Binance Killers",2024-01-14,0.0,0.0,0.0,1.0,0.0,0.0,negative,-1,2024,2,6
43,SIGNAL ID: #1341 **COIN: ****$BTC****/USDT (3-5x)** Direction: SHORT  Target 1: 42740 Target 2: 42300 27.8% Profit (10X) Our VIPs know exactly what to do to maximize profits. Book your seat now and never miss another move! Message: t.me/BKCEO  - Binance Killers,2024-01-15,0.0,0.0,0.0,1.0,0.0,0.0,negative,-1,2024,3,0
44,"**January 15, 2024  MARKET ANALYSIS:** Market Cap: $1.68 Trillion 24h Volume: $51.28 Billion BTC Dominance: 49.8% ETH Dominance: 18% BK Health Standard: 3.2 (1 to 10) BK Sentiment: 14% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. XAI: +35% 2. AI: +20% 3. ORN: +18% **Top Losers** 1. SSV: -8% 2. ENS: -7.5% 3. BAR: -7% **BINANCE FUTURES: Top Gainers** 1. XAIUSDT: +35% 2. AIUSDT: +19% **Top Losers** 1. 1000RATSUSDT: -13.50% 2. ENSUSDT: -8% **LARGEST VOLUME (24h)** 1. BTC/USDT ($19400m) 2. ETH/USDT ($10000m) **DAILY OUTLOOK** XAI, AI, and ORN have emerged as the leading gainers in the current market scenario. Following a robust bullish rally, BTC is presently in the process of forming a higher low to stabilize its market structure. Corrections, deemed essential for market health, serve to eliminate downward liquidity, paving the way for a more defined bullish trajectory. This strategic balance in the market contributes to a clearer and more sustainable path for future growth.  - Binance Killers",2024-01-15,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,3,0
